year,gp_nac_pbi,gp_pro_pbi,gp_mun_pbi
1980,"19,13","8,33","1,58"
1981,"21,78","8,02","1,54"
1982,"21,30","5,76","0,98"
1983,"18,54","6,32","1,06"
1984,"17,78","7,78","1,02"
1985,"20,13","8,32","1,50"
1986,"20,28","10,11","1,76"
1987,"22,36","10,34","1,94"
1988,"20,90","9,59","1,68"
1989,"21,50","8,64","1,57"
1990,"19,00","9,36","2,01"
1991,"18,36","10,23","2,45"
1992,"17,46","11,46","2,58"
1993,"16,35","12,53","2,83"
1994,"16,53","12,49","2,81"
1995,"17,08","12,72","2,65"
1996,"16,17","11,90","2,47"
1997,"15,96","11,85","2,54"
1998,"15,83","12,42","2,71"
1999,"17,59","13,71","2,94"
2000,"17,45","13,54","2,84"
2001,"18,14","14,54","2,92"
2002,"15,00","11,74","2,37"
2003,"15,51","11,53","2,41"
2004,"13,20","11,03","2,38"
2005,"14,48","11,98","2,59"
2006,"14,45","12,48","2,71"
2007,"16,86","12,92","2,70"
2008,"18,23","13,47","2,61"
2009,"21,61","15,08","3,17"
2010,"21,05","14,03","3,19"
2011,"22,18","14,74","3,09"
2012,"23,22","15,00","3,06"
2013,"24,05","15,48","3,33"
2014,"26,11","15,57","3,32"
2015,"25,92","16,83","3,55"
2016,"27,36","16,66","3,29"
2017,"25,71","17,14","3,40"
2018,"24,37","15,93","3,29"
2019,"24,17","15,95","3,35"
2020,"27,51","16,49","3,36"
2021,"24,31","15,15","3,35"
2022,"23,52","15,38","3,36"
2023,"22,30","16,13","3,44"